words_typed,intelligibility_rating,audio,condition,cutoff,content,trial_index,fullcond,suj_id,scores,TSRatios,cond_names,colors
#,1,filter_7_Inf_frm01_s08.wav,Temporal,7,Joe books very few judges,4,Temporal_7,1,0.0,0,T 7,royalblue
it's about... shotguns,3,filter_7_Inf_frm01_s05.wav,Temporal,7,It's been about two years since Davey kept shotguns,7,Temporal_7,1,3.9215686274509802,54,T 7,royalblue
special task force rescue kidnapping,3,filter_Inf_0.4_frm01_s23.wav,Spectral,0.4,Special task forces rescue hostages from kidnappers,10,Spectral_0.4,1,5.88235294117647,76,S 0.4,forestgreen
subdued..big brother,2,filter_6.5_Inf_frm01_s20.wav,Temporal,6.5,The frightened child was gently subdued by his big brother,13,Temporal_6.5,1,1.7241379310344827,49,T 6.5,cornflowerblue
coincided with the breakdown of a heating part,2,filter_Inf_0.5_frm01_s15.wav,Spectral,0.5,Each untimely income loss coincided with the breakdown of a heating system part,16,Spectral_0.5,1,10.126582278481013,74,S 0.5,darkgreen
big wheel caught,2,filter_7_Inf_frm01_s04.wav,Temporal,7,A fifth wheel caught speeding,19,Temporal_7,1,6.896551724137931,58,T 7,royalblue
on the surface of a small lake,3,filter_6.5_Inf_frm01_s27.wav,Temporal,6.5,The fish began to leap frantically on the surface of the small lake,22,Temporal_6.5,1,8.955223880597014,62,T 6.5,cornflowerblue
relax atmosphere,2,filter_Inf_0.4_frm01_s32.wav,Spectral,0.4,Is a relaxed home atmosphere enough to help her outgrow these traits,25,Spectral_0.4,1,1.4705882352941175,38,S 0.4,forestgreen
the sermon affirmed the nedd for action,4,filter_6.5_Inf_frm01_s17.wav,Temporal,6.5,The sermon emphasized the need for afirmative action,28,Temporal_6.5,1,7.6923076923076925,81,T 6.5,cornflowerblue
#,1,filter_Inf_0.2_1_1.wav,Anchor_Spectral_unIntelligible,0.2,"she called her brother, Randy",31,Anchor_Spectral_unIntelligible_0.2,1,0.0,0,S 0.2,limegreen
relaxed..voyage,2,filter_Inf_0.4_frm01_s28.wav,Spectral,0.4,The easygoing zoologist relaxed throughout the voyage,34,Spectral_0.4,1,0.0,42,S 0.4,forestgreen
I,1,filter_2_Inf_2_53.wav,Anchor_Temporal_unIntelligible,2,I may need to do something like that,37,Anchor_Temporal_unIntelligible_2,1,2.7777777777777777,5,T 2,lightsteelblue
charle do you think measure the tree,3,filter_Inf_0.5_frm01_s06.wav,Spectral,0.5,Charlie did you think to measure the tree,40,Spectral_0.5,1,12.195121951219512,91,S 0.5,darkgreen
for hours,2,filter_7_Inf_frm01_s19.wav,Temporal,7,Cory and Trish played tag with beach balls for hours,43,Temporal_7,1,3.8461538461538463,30,T 7,royalblue
I didn't know what to think of this fearsome woman,7,6_17.wav,Anchor_fullyIntelligible,0,I didn't know what to think of this fearsome woman,46,Anchor_fullyIntelligible_0,1,20.0,100,Full,coral
and re-decorating,2,filter_6.5_Inf_frm01_s30.wav,Temporal,6.5,How much will it cost to do any necessary modernizing and redecorating,49,Temporal_6.5,1,1.4285714285714286,34,T 6.5,cornflowerblue
#,1,filter_2_Inf_2_45.wav,Anchor_Temporal_unIntelligible,2,I do like parties though,52,Anchor_Temporal_unIntelligible_2,1,0.0,0,T 2,lightsteelblue
"I wouldn't sy i'm counting on it, but it could happen.",7,2_33.wav,Anchor_fullyIntelligible,0,I wouldn't say I'm counting on it but it could happen,55,Anchor_fullyIntelligible_0,1,15.09433962264151,99,Full,coral
carrying..like that,3,filter_7_Inf_frm01_s11.wav,Temporal,7,Don't ask me to carry an oily rag like that,58,Temporal_7,1,2.3255813953488373,52,T 7,royalblue
#,1,filter_Inf_0.2_1_10.wav,Anchor_Spectral_unIntelligible,0.2,The film brings out all the tensions and colors of the time,61,Anchor_Spectral_unIntelligible_0.2,1,0.0,0,S 0.2,limegreen
common,2,filter_6.5_Inf_frm01_s29.wav,Temporal,6.5,Brush fires are common in the dry underbrush of Nevada,64,Temporal_6.5,1,1.8518518518518516,20,T 6.5,cornflowerblue
If Carol comes tommorow have her arrangre a meeting for two,4,filter_Inf_0.4_frm01_s24.wav,Spectral,0.4,If Carol comes tomorrow have her arrange for a meeting at two,67,Spectral_0.4,1,14.754098360655737,95,S 0.4,forestgreen
We saw eight tiny bicycles below our roof,4,filter_Inf_0.4_frm01_s14.wav,Spectral,0.4,We saw eight tiny icicles below our roof,70,Spectral_0.4,1,17.5,81,S 0.4,forestgreen
to make a quicker escape,4,filter_Inf_0.5_frm01_s07.wav,Spectral,0.5,Tina got cued to make a quicker escape,73,Spectral_0.5,1,13.157894736842104,77,S 0.5,darkgreen
call an ambulance and then give assistance,4,filter_7_Inf_frm01_s13.wav,Temporal,7,Call an ambulance for medical assistance,76,Temporal_7,1,10.0,76,T 7,royalblue
#,1,filter_Inf_0.2_2_22.wav,Anchor_Spectral_unIntelligible,0.2,It seems like we would be wiser to act while the window is open,79,Anchor_Spectral_unIntelligible_0.2,1,0.0,0,S 0.2,limegreen
Everone's an influencer she says,7,1_74.wav,Anchor_fullyIntelligible,0,Everyone's an influencer shes says,82,Anchor_fullyIntelligible_0,1,8.823529411764707,97,Full,coral
Kindergarten children decorate their classrooms before the holidays,4,filter_Inf_0.5_frm01_s18.wav,Spectral,0.5,Kindergarten children decorate their classrooms for all holidays,85,Spectral_0.5,1,9.375,87,S 0.5,darkgreen
Alex's ability to wotk withour supervision is ,3,filter_Inf_0.4_frm01_s22.wav,Spectral,0.4,Alice's ability to work without supervision is noteworthy,88,Spectral_0.4,1,7.017543859649122,82,S 0.4,forestgreen
Here i was..annoying,3,filter_Inf_0.5_frm01_s09.wav,Spectral,0.5,Here I was in Miami and Illinois,91,Spectral_0.5,1,6.25,51,S 0.5,darkgreen
we should..physical appearance,3,filter_Inf_0.4_frm01_s31.wav,Spectral,0.4,Was she just naturally sloppy about everything but her physical appearance,94,Spectral_0.4,1,1.3513513513513513,49,S 0.4,forestgreen
#,1,filter_2_Inf_1_54.wav,Anchor_Temporal_unIntelligible,2,They married in 1965,97,Anchor_Temporal_unIntelligible_2,1,0.0,0,T 2,lightsteelblue
#,1,filter_2_Inf_2_6.wav,Anchor_Temporal_unIntelligible,2,That's the ultimate awesome thing,100,Anchor_Temporal_unIntelligible_2,1,0.0,0,T 2,lightsteelblue
Militay personnel are expected to obey government orders,5,filter_Inf_0.5_frm01_s25.wav,Spectral,0.5,Military personnel are expected to obey government orders,103,Spectral_0.5,1,12.280701754385964,99,S 0.5,darkgreen
She had your..all year,4,filter_Inf_0.5_frm01_s10.wav,Spectral,0.5,She had your dark suit in greasy wash water all year,106,Spectral_0.5,1,5.769230769230769,58,S 0.5,darkgreen
I hope i'm not being reductive?,7,6_41.wav,Anchor_fullyIntelligible,0,I hope I'm not beeing reductive,109,Anchor_fullyIntelligible_0,1,12.903225806451612,98,Full,coral
forgot when Rodger's teeth fell out,3,filter_Inf_0.5_frm01_s21.wav,Spectral,0.5,The tooth fairy forgot to come when Roger's tooth fell out,112,Spectral_0.5,1,6.896551724137931,71,S 0.5,darkgreen
She has no recollection of this phonecall,6,1_2.wav,Anchor_fullyIntelligible,0,she has no recollection ofthis phone call,115,Anchor_fullyIntelligible_0,1,9.75609756097561,78,Full,coral
And that was not right,7,2_54.wav,Anchor_fullyIntelligible,0,And that was not right,118,Anchor_fullyIntelligible_0,1,22.727272727272727,100,Full,coral
centrifuge,2,filter_Inf_0.4_frm01_s16.wav,Spectral,0.4,Jeff thought you argued in favor of a centrifuge purchase,121,Spectral_0.4,1,1.7543859649122806,30,S 0.4,forestgreen
superb sleeping pill,3,filter_6.5_Inf_frm01_s12.wav,Temporal,6.5,A boring novel is a superb sleeping pill,124,Temporal_6.5,1,7.5,67,T 6.5,cornflowerblue
street up ahead,3,filter_7_Inf_frm01_s03.wav,Temporal,7,Play in the street up ahead,127,Temporal_7,1,11.11111111111111,71,T 7,royalblue
If love is something you cherish,7,6_23.wav,Anchor_fullyIntelligible,0,If love is something you cherish,130,Anchor_fullyIntelligible_0,1,18.75,100,Full,coral
built embankment ground level,3,filter_6.5_Inf_frm01_s33.wav,Temporal,6.5,The same shelter could be built into an embankment or below ground level,133,Temporal_6.5,1,5.555555555555555,57,T 6.5,cornflowerblue
If it doesn't matter who wins why do we keep score,4,filter_6.5_Inf_frm01_s01.wav,Temporal,6.5,If it doesn't matter who wins why do we keep score,136,Temporal_6.5,1,22.0,100,T 6.5,cornflowerblue
They played anywhere they could draw a crowd,7,1_34.wav,Anchor_fullyIntelligible,0,They played anywhere they could draw a crowd,139,Anchor_fullyIntelligible_0,1,15.909090909090908,100,Full,coral
#,1,filter_Inf_0.2_2_21.wav,Anchor_Spectral_unIntelligible,0.2,The answer is in technology,142,Anchor_Spectral_unIntelligible_0.2,1,0.0,0,S 0.2,limegreen
each little,2,filter_7_Inf_frm01_s02.wav,Temporal,7,Stop each car if it's little,145,Temporal_7,1,7.142857142857142,56,T 7,royalblue
score,2,filter_6.5_Inf_frm01_s01.wav,Temporal,6.5,If it doesn't matter who wins why do we keep score,4,Temporal_6.5,2,2.0,18,T 6.5,cornflowerblue
caught speeding,2,filter_7_Inf_frm01_s04.wav,Temporal,7,A fifth wheel caught speeding,7,Temporal_7,2,6.896551724137931,68,T 7,royalblue
superb sleeping pill,2,filter_7_Inf_frm01_s12.wav,Temporal,7,A boring novel is a superb sleeping pill,10,Temporal_7,2,7.5,67,T 7,royalblue
#,1,filter_Inf_0.4_frm01_s09.wav,Spectral,0.4,Here I was in Miami and Illinois,13,Spectral_0.4,2,0.0,0,S 0.4,forestgreen
#,1,filter_2_Inf_1_74.wav,Anchor_Temporal_unIntelligible,2,Everyone's an influencer shes says,16,Anchor_Temporal_unIntelligible_2,2,0.0,0,T 2,lightsteelblue
#,1,filter_6.5_Inf_frm01_s21.wav,Temporal,6.5,The tooth fairy forgot to come when Roger's tooth fell out,19,Temporal_6.5,2,0.0,0,T 6.5,cornflowerblue
laugh dance and sing if fortune smiles upon you,3,filter_Inf_0.5_frm01_s26.wav,Spectral,0.5,Laugh dance and sing if fortune smiles upon you,22,Spectral_0.5,2,19.148936170212767,100,S 0.5,darkgreen
I hope I'm not being reductive,7,6_41.wav,Anchor_fullyIntelligible,0,I hope I'm not beeing reductive,25,Anchor_fullyIntelligible_0,2,16.129032258064516,98,Full,coral
"If # comes tomorrow, # arrange for a meeting at two",2,filter_Inf_0.5_frm01_s24.wav,Spectral,0.5,If Carol comes tomorrow have her arrange for a meeting at two,28,Spectral_0.5,2,13.114754098360656,86,S 0.5,darkgreen
"the fish began to # frantically, on the surface of the small lake",3,filter_Inf_0.4_frm01_s27.wav,Spectral,0.4,The fish began to leap frantically on the surface of the small lake,31,Spectral_0.4,2,13.432835820895523,96,S 0.4,forestgreen
played tag with beach ball for hours,2,filter_Inf_0.5_frm01_s19.wav,Spectral,0.5,Cory and Trish played tag with beach balls for hours,34,Spectral_0.5,2,11.538461538461538,82,S 0.5,darkgreen
coincided with the breakdown of a heating system part,2,filter_Inf_0.4_frm01_s15.wav,Spectral,0.4,Each untimely income loss coincided with the breakdown of a heating system part,37,Spectral_0.4,2,11.39240506329114,80,S 0.4,forestgreen
I do like parties though,7,2_45.wav,Anchor_fullyIntelligible,0,I do like parties though,40,Anchor_fullyIntelligible_0,2,20.833333333333336,100,Full,coral
#,1,filter_2_Inf_6_17.wav,Anchor_Temporal_unIntelligible,2,I didn't know what to think of this fearsome woman,43,Anchor_Temporal_unIntelligible_2,2,0.0,0,T 2,lightsteelblue
#,1,filter_2_Inf_1_11.wav,Anchor_Temporal_unIntelligible,2,She has always loved history,46,Anchor_Temporal_unIntelligible_2,2,0.0,0,T 2,lightsteelblue
They played anywhere they could draw a crowd,7,1_34.wav,Anchor_fullyIntelligible,0,They played anywhere they could draw a crowd,49,Anchor_fullyIntelligible_0,2,15.909090909090908,100,Full,coral
street up ahead,2,filter_Inf_0.5_frm01_s03.wav,Spectral,0.5,Play in the street up ahead,52,Spectral_0.5,2,11.11111111111111,71,S 0.5,darkgreen
#,1,filter_7_Inf_frm01_s02.wav,Temporal,7,Stop each car if it's little,55,Temporal_7,2,0.0,0,T 7,royalblue
#,1,filter_Inf_0.2_2_22.wav,Anchor_Spectral_unIntelligible,0.2,It seems like we would be wiser to act while the window is open,58,Anchor_Spectral_unIntelligible_0.2,2,0.0,0,S 0.2,limegreen
like that,2,filter_7_Inf_frm01_s11.wav,Temporal,7,Don't ask me to carry an oily rag like that,61,Temporal_7,2,4.651162790697675,35,T 7,royalblue
tiny bicycle # our roof,2,filter_Inf_0.4_frm01_s14.wav,Spectral,0.4,We saw eight tiny icicles below our roof,64,Spectral_0.4,2,7.5,66,S 0.4,forestgreen
the same shelter could be built into an embankment or below ground level,3,filter_Inf_0.5_frm01_s33.wav,Spectral,0.5,The same shelter could be built into an embankment or below ground level,67,Spectral_0.5,2,18.055555555555554,100,S 0.5,darkgreen
special task forces rescue hostages from kidnappers,3,filter_Inf_0.4_frm01_s23.wav,Spectral,0.4,Special task forces rescue hostages from kidnappers,70,Spectral_0.4,2,13.725490196078432,100,S 0.4,forestgreen
#,1,filter_6.5_Inf_frm01_s08.wav,Temporal,6.5,Joe books very few judges,73,Temporal_6.5,2,0.0,0,T 6.5,cornflowerblue
